"TXNAME"	"GENEID"
"ENSRNOT00000112229"	"ENSRNOG00000065637"
"ENSRNOT00000111953"	"ENSRNOG00000065637"
"ENSRNOT00000085392"	"ENSRNOG00000060056"
"ENSRNOT00000065733"	"ENSRNOG00000016919"
"ENSRNOT00000109313"	"ENSRNOG00000016919"
"ENSRNOT00000083425"	"ENSRNOG00000016919"
"ENSRNOT00000118656"	"ENSRNOG00000016919"
"ENSRNOT00000097747"	"ENSRNOG00000068809"
"ENSRNOT00000065386"	"ENSRNOG00000016728"
"ENSRNOT00000030132"	"ENSRNOG00000023531"
"ENSRNOT00000098580"	"ENSRNOG00000064039"
"ENSRNOT00000084454"	"ENSRNOG00000017030"
"ENSRNOT00000092976"	"ENSRNOG00000017030"
"ENSRNOT00000022939"	"ENSRNOG00000017030"
"ENSRNOT00000043521"	"ENSRNOG00000029049"
"ENSRNOT00000100236"	"ENSRNOG00000046874"
"ENSRNOT00000096582"	"ENSRNOG00000046874"
"ENSRNOT00000095948"	"ENSRNOG00000046874"
"ENSRNOT00000102774"	"ENSRNOG00000046874"
"ENSRNOT00000111709"	"ENSRNOG00000046874"
"ENSRNOT00000075268"	"ENSRNOG00000046874"
"ENSRNOT00000068476"	"ENSRNOG00000017114"
"ENSRNOT00000066798"	"ENSRNOG00000017114"
"ENSRNOT00000067661"	"ENSRNOG00000017114"
"ENSRNOT00000024211"	"ENSRNOG00000018007"
"ENSRNOT00000024412"	"ENSRNOG00000018012"
"ENSRNOT00000116412"	"ENSRNOG00000070335"
"ENSRNOT00000112360"	"ENSRNOG00000018158"
"ENSRNOT00000068457"	"ENSRNOG00000018158"
"ENSRNOT00000104987"	"ENSRNOG00000018158"
"ENSRNOT00000098929"	"ENSRNOG00000018158"
"ENSRNOT00000024967"	"ENSRNOG00000018321"
"ENSRNOT00000097447"	"ENSRNOG00000030210"
"ENSRNOT00000034842"	"ENSRNOG00000030210"
"ENSRNOT00000089458"	"ENSRNOG00000030210"
"ENSRNOT00000099286"	"ENSRNOG00000030210"
"ENSRNOT00000109718"	"ENSRNOG00000030210"
"ENSRNOT00000094427"	"ENSRNOG00000030210"
"ENSRNOT00000025936"	"ENSRNOG00000019091"
"ENSRNOT00000079312"	"ENSRNOG00000019091"
"ENSRNOT00000102248"	"ENSRNOG00000019091"
"ENSRNOT00000033408"	"ENSRNOG00000019189"
"ENSRNOT00000111916"	"ENSRNOG00000019189"
"ENSRNOT00000076951"	"ENSRNOG00000019189"
"ENSRNOT00000114086"	"ENSRNOG00000019189"
"ENSRNOT00000117522"	"ENSRNOG00000019189"
"ENSRNOT00000077707"	"ENSRNOG00000013975"
"ENSRNOT00000018934"	"ENSRNOG00000013975"
"ENSRNOT00000095116"	"ENSRNOG00000069754"
"ENSRNOT00000101637"	"ENSRNOG00000014582"
"ENSRNOT00000020064"	"ENSRNOG00000014582"
"ENSRNOT00000095564"	"ENSRNOG00000014582"
"ENSRNOT00000060412"	"ENSRNOG00000023140"
"ENSRNOT00000020100"	"ENSRNOG00000014971"
"ENSRNOT00000104217"	"ENSRNOG00000014971"
"ENSRNOT00000021840"	"ENSRNOG00000014997"
"ENSRNOT00000108241"	"ENSRNOG00000014997"
"ENSRNOT00000104985"	"ENSRNOG00000014997"
"ENSRNOT00000022254"	"ENSRNOG00000016337"
"ENSRNOT00000022068"	"ENSRNOG00000016337"
"ENSRNOT00000037369"	"ENSRNOG00000022946"
"ENSRNOT00000112094"	"ENSRNOG00000017419"
"ENSRNOT00000084317"	"ENSRNOG00000017419"
"ENSRNOT00000116657"	"ENSRNOG00000017419"
"ENSRNOT00000064018"	"ENSRNOG00000017419"
"ENSRNOT00000094132"	"ENSRNOG00000017419"
"ENSRNOT00000100980"	"ENSRNOG00000068261"
"ENSRNOT00000101907"	"ENSRNOG00000068261"
"ENSRNOT00000089149"	"ENSRNOG00000048297"
"ENSRNOT00000023290"	"ENSRNOG00000048297"
"ENSRNOT00000035402"	"ENSRNOG00000048297"
"ENSRNOT00000099441"	"ENSRNOG00000048297"
"ENSRNOT00000086441"	"ENSRNOG00000048297"
"ENSRNOT00000105278"	"ENSRNOG00000066713"
"ENSRNOT00000023319"	"ENSRNOG00000017367"
"ENSRNOT00000017601"	"ENSRNOG00000013190"
"ENSRNOT00000084628"	"ENSRNOG00000013190"
"ENSRNOT00000118408"	"ENSRNOG00000013190"
"ENSRNOT00000103591"	"ENSRNOG00000013194"
"ENSRNOT00000107274"	"ENSRNOG00000013194"
"ENSRNOT00000112387"	"ENSRNOG00000013194"
"ENSRNOT00000095647"	"ENSRNOG00000013194"
"ENSRNOT00000017809"	"ENSRNOG00000013194"
"ENSRNOT00000094462"	"ENSRNOG00000013194"
"ENSRNOT00000018015"	"ENSRNOG00000013374"
"ENSRNOT00000077340"	"ENSRNOG00000013374"
"ENSRNOT00000109422"	"ENSRNOG00000013374"
"ENSRNOT00000105782"	"ENSRNOG00000064778"
"ENSRNOT00000114080"	"ENSRNOG00000069125"
"ENSRNOT00000110157"	"ENSRNOG00000067148"
"ENSRNOT00000112914"	"ENSRNOG00000063130"
"ENSRNOT00000092209"	"ENSRNOG00000068440"
"ENSRNOT00000113010"	"ENSRNOG00000068440"
"ENSRNOT00000072895"	"ENSRNOG00000052093"
"ENSRNOT00000099463"	"ENSRNOG00000068967"
"ENSRNOT00000098257"	"ENSRNOG00000068967"
"ENSRNOT00000104793"	"ENSRNOG00000067503"
"ENSRNOT00000116574"	"ENSRNOG00000067503"
"ENSRNOT00000104829"	"ENSRNOG00000067503"
"ENSRNOT00000100972"	"ENSRNOG00000067503"
"ENSRNOT00000108232"	"ENSRNOG00000067503"
"ENSRNOT00000079129"	"ENSRNOG00000056439"
"ENSRNOT00000032667"	"ENSRNOG00000023753"
"ENSRNOT00000106034"	"ENSRNOG00000023753"
"ENSRNOT00000107704"	"ENSRNOG00000023753"
"ENSRNOT00000096238"	"ENSRNOG00000023753"
"ENSRNOT00000096510"	"ENSRNOG00000023753"
"ENSRNOT00000104925"	"ENSRNOG00000065613"
"ENSRNOT00000101389"	"ENSRNOG00000067889"
"ENSRNOT00000042050"	"ENSRNOG00000033775"
"ENSRNOT00000047766"	"ENSRNOG00000033775"
"ENSRNOT00000084626"	"ENSRNOG00000056404"
"ENSRNOT00000111839"	"ENSRNOG00000065638"
"ENSRNOT00000095259"	"ENSRNOG00000065638"
"ENSRNOT00000029537"	"ENSRNOG00000013671"
"ENSRNOT00000100023"	"ENSRNOG00000069390"
"ENSRNOT00000094414"	"ENSRNOG00000064423"
"ENSRNOT00000096107"	"ENSRNOG00000064423"
"ENSRNOT00000104569"	"ENSRNOG00000064423"
"ENSRNOT00000102968"	"ENSRNOG00000068222"
"ENSRNOT00000103915"	"ENSRNOG00000067989"
"ENSRNOT00000108301"	"ENSRNOG00000067989"
"ENSRNOT00000109266"	"ENSRNOG00000014166"
"ENSRNOT00000019317"	"ENSRNOG00000014166"
"ENSRNOT00000113274"	"ENSRNOG00000014166"
"ENSRNOT00000079718"	"ENSRNOG00000014166"
"ENSRNOT00000098864"	"ENSRNOG00000067872"
"ENSRNOT00000104864"	"ENSRNOG00000067872"
"ENSRNOT00000108772"	"ENSRNOG00000070184"
"ENSRNOT00000095112"	"ENSRNOG00000070184"
"ENSRNOT00000059845"	"ENSRNOG00000015230"
"ENSRNOT00000119249"	"ENSRNOG00000015230"
"ENSRNOT00000109316"	"ENSRNOG00000065835"
"ENSRNOT00000082790"	"ENSRNOG00000058790"
"ENSRNOT00000084017"	"ENSRNOG00000058790"
"ENSRNOT00000118789"	"ENSRNOG00000058790"
"ENSRNOT00000119393"	"ENSRNOG00000058790"
"ENSRNOT00000002038"	"ENSRNOG00000001489"
"ENSRNOT00000106038"	"ENSRNOG00000001489"
"ENSRNOT00000114159"	"ENSRNOG00000001489"
"ENSRNOT00000105252"	"ENSRNOG00000001489"
"ENSRNOT00000118785"	"ENSRNOG00000001489"
"ENSRNOT00000112414"	"ENSRNOG00000070842"
"ENSRNOT00000019358"	"ENSRNOG00000014434"
"ENSRNOT00000083968"	"ENSRNOG00000014434"
"ENSRNOT00000081154"	"ENSRNOG00000061593"
"ENSRNOT00000108998"	"ENSRNOG00000070032"
"ENSRNOT00000100374"	"ENSRNOG00000066612"
"ENSRNOT00000104256"	"ENSRNOG00000012692"
"ENSRNOT00000017165"	"ENSRNOG00000012692"
"ENSRNOT00000017442"	"ENSRNOG00000012988"
"ENSRNOT00000112146"	"ENSRNOG00000064980"
"ENSRNOT00000117609"	"ENSRNOG00000064244"
"ENSRNOT00000108563"	"ENSRNOG00000062758"
"ENSRNOT00000053777"	"ENSRNOG00000035654"
"ENSRNOT00000053695"	"ENSRNOG00000035572"
"ENSRNOT00000014598"	"ENSRNOG00000039076"
"ENSRNOT00000117661"	"ENSRNOG00000042605"
"ENSRNOT00000041605"	"ENSRNOG00000031331"
"ENSRNOT00000097361"	"ENSRNOG00000031331"
"ENSRNOT00000064917"	"ENSRNOG00000031331"
"ENSRNOT00000101247"	"ENSRNOG00000048014"
"ENSRNOT00000014883"	"ENSRNOG00000011191"
"ENSRNOT00000120285"	"ENSRNOG00000066554"
"ENSRNOT00000097871"	"ENSRNOG00000065836"
"ENSRNOT00000104869"	"ENSRNOG00000065836"
"ENSRNOT00000118818"	"ENSRNOG00000065836"
"ENSRNOT00000098140"	"ENSRNOG00000065836"
"ENSRNOT00000050523"	"ENSRNOG00000031073"
"ENSRNOT00000108959"	"ENSRNOG00000065978"
"ENSRNOT00000110143"	"ENSRNOG00000065978"
"ENSRNOT00000111142"	"ENSRNOG00000065978"
"ENSRNOT00000103604"	"ENSRNOG00000065978"
"ENSRNOT00000116496"	"ENSRNOG00000065978"
"ENSRNOT00000014930"	"ENSRNOG00000011234"
