baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	refseq_id	refseq_mrna	external_gene_name	ensembl_gene_id
XM_017596360.2	36.1935149063269	-6.4022271272361	1.52055166504954	-4.2104633958804	2.5484741417612e-05	0.00754246120309063	XM_017596360	NA	NA	NA
XM_017596818.2	31.6315465976248	-23.1049805531227	3.02723720945532	-7.63236540597355	2.30485038491141e-14	1.63038054903603e-10	XM_017596818	NA	NA	NA
XM_017597910.2	27.9523271075346	-22.9548373621616	3.02737466735217	-7.58242367874424	3.39158602821801e-14	1.80290546740018e-10	XM_017597910	NA	NA	NA
XM_017599746.2	111.006541203169	-7.26283292934981	1.74174040156635	-4.16987107999466	3.04771994583817e-05	0.00832768112677294	XM_017599746	NA	NA	NA
XM_017599753.2	11.6076795817547	-6.92579038996787	1.67053382103719	-4.14585463805086	3.38548563007126e-05	0.00898644472702929	XM_017599753	NA	NA	NA
XM_017600103.2	25.4220359648074	-6.34993722758345	1.63005516955897	-3.89553516112064	9.79821460469817e-05	0.0187235555815399	XM_017600103	NA	NA	NA
XM_017600128.2	23.4945716811155	-7.36170235602215	1.55122935032806	-4.74572142053997	2.07764496184628e-06	0.00115703058570476	XM_017600128	NA	NA	NA
XM_017600859.2	2.52955358499268	-4.72248260342468	1.07699298879365	-4.38487775924554	1.16050928761571e-05	0.0042148832350336	XM_017600859	NA	NA	NA
XM_039078381.1	31.9299368521124	-23.1401030007863	3.02722714166249	-7.64399297374104	2.10586903635436e-14	1.63038054903603e-10	XM_039078381	NA	NA	NA
XM_039078386.1	8.57427292713639	-6.49208525217742	1.61641003405624	-4.01636040076173	5.91038477224821e-05	0.0130837146621931	XM_039078386	NA	NA	NA
XM_039078511.1	2.5960914951016	-4.7672720301026	1.05701983919597	-4.51010648364827	6.4795092897251e-06	0.00276556807450646	XM_039078511	NA	NA	NA
XM_039078953.1	22.7958483655519	-7.31964764153453	1.62949849040493	-4.49196343822055	7.05695405426464e-06	0.00294748808120765	XM_039078953	NA	NA	NA
XM_039079778.1	5.6738448777038	-5.30503752996186	1.04675161144404	-5.06809588059129	4.0181500112267e-07	0.000293696629695588	XM_039079778	NA	NA	NA
XM_039080651.1	7.59912706777515	-6.3173946002847	1.68261957063025	-3.75449965669805	0.000173688083133168	0.026939620618379	XM_039080651	NA	NA	NA
XM_039080834.1	6.77499209836198	-6.15198856185399	1.60796559704173	-3.82594538911291	0.000130271169510753	0.0224704317580288	XM_039080834	NA	NA	NA
